
# Surface 0 of 1 surfaces

# Curve title: ""MAC_deco_5000.csv""

# Contour 0, label:     1.08
-0.497834 -0.1  1.08 
-0.5 -0.15836  1.08 
-0.6 -0.15836  1.08 
-0.67962 -0.1  1.08 
-0.7 -0.0703775  1.08 
-0.760307  0  1.08 
-0.772682  0.1  1.08 
-0.709791  0.2  1.08 
-0.7  0.205714  1.08 
-0.6  0.288676  1.08 
-0.5  0.288676  1.08 
-0.49697  0.2  1.08 
-0.495685  0.1  1.08 
-0.495969  0  1.08 
-0.497834 -0.1  1.08 


# Contour 1, label:        1
-0.494079 -0.2  1 
-0.5 -0.29325  1 
-0.6 -0.29325  1 
-0.7 -0.254478  1 
-0.8 -0.230293  1 
-0.848169 -0.2  1 
-0.9 -0.144809  1 
-0.937194 -0.1  1 
-0.979006  0  1 
-0.986894  0.1  1 
-0.961671  0.2  1 
-0.9  0.28932  1 
-0.891531  0.3  1 
-0.8  0.360779  1 
-0.7  0.37164  1 
-0.63791  0.4  1 
-0.6  0.41024  1 
-0.5  0.403034  1 
-0.49892  0.4  1 
-0.492964  0.3  1 
-0.489787  0.2  1 
-0.488598  0.1  1 
-0.48886  0  1 
-0.490587 -0.1  1 
-0.494079 -0.2  1 


# Contour 2, label:     0.92
-0.492421 -0.3  0.92 
-0.5 -0.37755  0.92 
-0.6 -0.37755  0.92 
-0.7 -0.35629  0.92 
-0.8 -0.357537  0.92 
-0.9 -0.324426  0.92 
-0.953666 -0.3  0.92 
-1 -0.2677  0.92 
-1.07556 -0.2  0.92 
-1.1 -0.164057  0.92 
-1.14078 -0.1  0.92 
-1.17432  0  0.92 
-1.18283  0.1  0.92 
-1.16732  0.2  0.92 
-1.1231  0.3  0.92 
-1.1  0.329496  0.92 
-1.03372  0.4  0.92 
-1  0.422304  0.92 
-0.9  0.464461  0.92 
-0.8  0.48445  0.92 
-0.7  0.461275  0.92 
-0.6  0.485255  0.92 
-0.5  0.425259  0.92 
-0.491006  0.4  0.92 
-0.485526  0.3  0.92 
-0.482604  0.2  0.92 
-0.48151  0.1  0.92 
-0.481752  0  0.92 
-0.48334 -0.1  0.92 
-0.486552 -0.2  0.92 
-0.492421 -0.3  0.92 


# Contour 3, label:     0.84
-0.493525 -0.4  0.84 
-0.5 -0.4128  0.84 
-0.6 -0.438433  0.84 
-0.7 -0.429646  0.84 
-0.8 -0.449459  0.84 
-0.9 -0.441765  0.84 
-1 -0.421238  0.84 
-1.05823 -0.4  0.84 
-1.1 -0.378465  0.84 
-1.2 -0.310342  0.84 
-1.21287 -0.3  0.84 
-1.29897 -0.2  0.84 
-1.3 -0.198122  0.84 
-1.35296 -0.1  0.84 
-1.38266  0  0.84 
-1.39257  0.1  0.84 
-1.38381  0.2  0.84 
-1.35446  0.3  0.84 
-1.3  0.398  0.84 
-1.29878  0.4  0.84 
-1.20279  0.5  0.84 
-1.2  0.502058  0.84 
-1.1  0.55845  0.84 
-1  0.586771  0.84 
-0.9  0.589254  0.84 
-0.8  0.573812  0.84 
-0.7  0.530311  0.84 
-0.6  0.525375  0.84 
-0.574625  0.5  0.84 
-0.5  0.447485  0.84 
-0.483093  0.4  0.84 
-0.478089  0.3  0.84 
-0.475421  0.2  0.84 
-0.474422  0.1  0.84 
-0.474643  0  0.84 
-0.476093 -0.1  0.84 
-0.479026 -0.2  0.84 
-0.484384 -0.3  0.84 
-0.493525 -0.4  0.84 


# Contour 4, label:     0.76
-0.484617 -0.4  0.76 
-0.5 -0.430407  0.76 
-0.6 -0.491297  0.76 
-0.7 -0.48871  0.76 
-0.733545 -0.5  0.76 
-0.8 -0.525605  0.76 
-0.9 -0.538969  0.76 
-1 -0.541639  0.76 
-1.1 -0.528534  0.76 
-1.19897 -0.5  0.76 
-1.2 -0.499617  0.76 
-1.3 -0.449689  0.76 
-1.37468 -0.4  0.76 
-1.4 -0.377437  0.76 
-1.47727 -0.3  0.76 
-1.5 -0.267857  0.76 
-1.5463 -0.2  0.76 
-1.59179 -0.1  0.76 
-1.6 -0.0699747  0.76 
-1.61993  0  0.76 
-1.63198  0.1  0.76 
-1.62848  0.2  0.76 
-1.60895  0.3  0.76 
-1.6  0.324981  0.76 
-1.57255  0.4  0.76 
-1.51429  0.5  0.76 
-1.5  0.517977  0.76 
-1.42521  0.6  0.76 
-1.4  0.62123  0.76 
-1.3  0.687612  0.76 
-1.27338  0.7  0.76 
-1.2  0.729167  0.76 
-1.1  0.750411  0.76 
-1  0.752532  0.76 
-0.9  0.733237  0.76 
-0.830548  0.7  0.76 
-0.8  0.688589  0.76 
-0.719749  0.6  0.76 
-0.7  0.589826  0.76 
-0.6  0.556957  0.76 
